iter	Passed	Remaining
0	1	152
1	2	143
2	4	136
3	5	127
4	6	127
5	7	125
6	9	124
7	10	123
8	12	122
9	13	120
10	14	118
11	15	116
12	17	115
13	18	113
14	19	111
15	20	109
16	22	109
17	23	107
18	24	106
19	26	105
20	27	103
21	28	102
22	30	100
23	31	99
24	32	97
25	33	95
26	34	94
27	36	93
28	37	91
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	83
35	46	82
36	47	80
37	48	79
38	50	78
39	51	76
40	52	75
41	53	73
42	54	72
43	55	71
44	57	69
45	58	68
46	59	67
47	60	65
48	62	64
49	63	63
50	64	61
51	65	60
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	72	52
58	74	51
59	75	50
60	76	49
61	77	47
62	79	46
63	80	45
64	81	44
65	83	42
66	84	41
67	85	40
68	86	39
69	88	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	100	25
80	101	23
81	102	22
82	104	21
83	105	20
84	106	18
85	107	17
86	108	16
87	110	15
88	111	13
89	112	12
90	113	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	121	3
97	122	2
98	123	1
99	125	0
