iter	Passed	Remaining
0	143	143373
1	144	72020
2	145	48206
3	145	36267
4	146	29109
5	146	24343
6	147	20934
7	148	18381
8	148	16390
9	149	14794
10	150	13489
11	150	12408
12	151	11489
13	151	10702
14	152	10019
15	153	9421
16	153	8892
17	154	8419
18	154	7996
19	155	7615
20	155	7271
21	156	6959
22	157	6673
23	157	6414
24	158	6177
25	158	5954
26	159	5747
27	160	5554
28	160	5375
29	161	5211
30	161	5058
31	162	4914
32	163	4778
33	163	4650
34	164	4529
35	164	4413
36	165	4304
37	165	4201
38	166	4105
39	167	4012
40	167	3924
41	168	3840
42	168	3760
43	169	3684
44	170	3611
45	170	3542
46	171	3477
47	172	3412
48	172	3352
49	173	3293
50	173	3237
51	174	3183
52	175	3131
53	175	3082
54	176	3035
55	177	2989
56	178	2945
57	178	2903
58	179	2862
59	180	2820
60	180	2780
61	181	2741
62	181	2703
63	182	2667
64	183	2632
65	183	2597
66	184	2564
67	184	2531
68	185	2501
69	186	2473
70	186	2443
71	187	2415
72	188	2388
73	188	2362
74	189	2336
75	190	2311
76	190	2285
77	191	2259
78	191	2235
79	192	2210
80	192	2187
81	193	2166
82	193	2141
83	194	2121
84	195	2100
85	195	2081
86	196	2062
87	197	2042
88	197	2023
89	198	2005
90	198	1987
91	199	1969
92	200	1952
93	200	1934
94	201	1918
95	201	1901
96	202	1885
97	203	1869
98	203	1854
99	204	1840
100	205	1825
101	205	1811
102	206	1796
103	206	1782
104	207	1767
105	207	1753
106	208	1739
107	209	1726
108	209	1712
109	210	1699
110	210	1686
111	211	1674
112	211	1661
113	212	1649
114	212	1637
115	213	1625
116	213	1613
117	214	1602
118	214	1590
119	215	1579
120	216	1569
121	216	1559
122	217	1548
123	217	1539
124	218	1529
125	219	1519
126	219	1508
127	220	1498
128	220	1489
129	221	1479
130	221	1470
131	222	1461
132	222	1452
133	223	1443
134	223	1434
135	224	1425
136	224	1417
137	225	1408
138	226	1400
139	226	1392
140	227	1383
141	227	1374
142	228	1366
143	228	1359
144	229	1351
145	229	1343
146	230	1336
147	230	1329
148	231	1322
149	232	1315
150	232	1310
151	233	1302
152	234	1296
153	234	1289
154	235	1282
155	235	1275
156	236	1268
157	236	1262
158	237	1255
159	237	1249
160	238	1241
161	238	1235
162	239	1228
163	239	1222
164	240	1216
165	240	1210
166	241	1204
167	242	1198
168	242	1192
169	243	1187
170	243	1181
171	244	1175
172	244	1170
173	245	1165
174	246	1160
175	246	1154
176	247	1149
177	248	1145
178	248	1140
179	249	1135
180	249	1130
181	250	1125
182	250	1120
183	251	1115
184	252	1110
185	252	1105
186	253	1100
187	253	1095
188	254	1091
189	254	1086
190	255	1081
191	255	1077
192	256	1072
193	257	1067
194	257	1063
195	258	1058
196	258	1054
197	259	1049
198	259	1044
199	260	1040
200	260	1037
201	261	1033
202	262	1029
203	262	1025
204	263	1021
205	263	1016
206	264	1012
207	264	1008
208	265	1004
209	265	1000
210	266	997
211	267	993
212	267	989
213	268	985
214	269	982
215	269	978
216	270	974
217	270	971
218	271	967
219	271	963
220	272	959
221	272	956
222	273	952
223	273	949
224	274	945
225	275	942
226	275	939
227	276	936
228	277	933
229	277	929
230	278	926
231	278	923
232	279	920
233	280	916
234	280	913
235	281	910
236	281	907
237	282	904
238	282	900
239	283	897
240	284	894
241	284	891
242	285	888
243	285	885
244	286	882
245	286	879
246	287	875
247	287	872
248	288	869
249	289	867
250	289	864
251	290	861
252	290	858
253	291	855
254	291	852
255	292	850
256	293	847
257	293	844
258	294	841
259	294	838
260	295	836
261	295	833
262	296	830
263	296	827
264	297	825
265	298	822
266	298	819
267	299	816
268	299	814
269	300	811
270	300	809
271	301	806
272	301	803
273	302	801
274	302	798
275	303	796
276	304	793
277	304	790
278	305	788
279	305	786
280	306	784
281	307	781
282	307	779
283	308	777
284	308	775
285	309	772
286	310	770
287	310	767
288	311	765
289	311	763
290	312	760
291	312	758
292	313	756
293	313	753
294	314	751
295	315	749
296	315	747
297	316	744
298	316	742
299	317	740
300	317	738
301	318	735
302	318	733
303	319	731
304	320	729
305	320	727
306	321	725
307	321	722
308	322	720
309	322	718
310	323	716
311	324	714
312	324	712
313	325	710
314	325	708
315	326	706
316	326	704
317	327	702
318	327	700
319	328	698
320	329	696
321	329	694
322	330	692
323	330	690
324	331	688
325	332	686
326	332	684
327	333	682
328	333	680
329	334	678
330	334	676
331	335	674
332	336	673
333	336	671
334	337	669
335	337	667
336	338	665
337	338	663
338	339	661
339	340	660
340	340	658
341	341	656
342	341	654
343	342	652
344	342	650
345	343	649
346	344	647
347	344	645
348	345	644
349	345	642
350	346	640
351	346	638
352	347	636
353	348	635
354	348	633
355	349	631
356	349	629
357	350	628
358	351	626
359	351	625
360	352	623
361	352	621
362	353	620
363	353	618
364	354	616
365	355	615
366	355	613
367	356	611
368	356	610
369	357	608
370	357	606
371	358	604
372	358	603
373	359	601
374	359	599
375	360	598
376	361	596
377	361	594
378	362	593
379	362	591
380	363	589
381	363	588
382	364	586
383	364	585
384	365	583
385	365	582
386	366	580
387	367	579
388	367	577
389	368	575
390	368	574
391	369	572
392	369	571
393	370	569
394	370	568
395	371	566
396	372	565
397	372	563
398	373	562
399	373	560
400	374	559
401	374	557
402	375	556
403	375	554
404	376	553
405	377	551
406	377	550
407	378	548
408	378	547
409	379	545
410	379	544
411	380	542
412	380	541
413	381	540
414	382	538
415	382	537
416	383	536
417	384	534
418	384	533
419	385	532
420	385	530
421	386	529
422	387	528
423	387	527
424	388	525
425	389	524
426	389	522
427	390	521
428	390	520
429	391	519
430	392	517
431	392	516
432	393	515
433	394	513
434	394	512
435	395	511
436	396	510
437	396	508
438	397	507
439	397	506
440	398	505
441	399	503
442	399	502
443	400	501
444	400	499
445	401	498
446	401	497
447	402	495
448	402	494
449	403	493
450	404	491
451	404	490
452	405	489
453	405	487
454	406	486
455	406	485
456	407	483
457	407	482
458	408	481
459	409	480
460	409	478
461	410	477
462	410	476
463	411	475
464	412	474
465	412	472
466	413	471
467	413	470
468	414	469
469	415	468
470	415	467
471	416	465
472	417	464
473	417	463
474	418	462
475	419	462
476	420	460
477	420	459
478	421	458
479	422	457
480	423	456
481	423	455
482	424	454
483	424	452
484	425	451
485	426	450
486	426	449
487	427	448
488	427	447
489	428	446
490	429	444
491	429	443
492	430	442
493	430	441
494	431	440
495	431	438
496	432	437
497	433	436
498	433	435
499	434	434
500	434	432
501	435	431
502	435	430
503	436	429
504	436	428
505	437	427
506	438	426
507	438	424
508	439	423
509	439	422
510	440	421
511	441	420
512	442	419
513	442	418
514	443	417
515	443	416
516	444	415
517	444	414
518	445	412
519	446	411
520	446	410
521	447	409
522	447	408
523	448	407
524	449	406
525	449	405
526	450	404
527	451	403
528	451	402
529	452	401
530	453	400
531	453	399
532	454	398
533	454	397
534	455	396
535	456	394
536	456	393
537	457	392
538	458	391
539	458	390
540	459	389
541	460	388
542	460	387
543	461	386
544	462	385
545	462	384
546	463	383
547	463	382
548	464	381
549	465	380
550	465	379
551	466	378
552	466	377
553	467	376
554	467	375
555	468	374
556	468	372
557	469	371
558	470	370
559	470	369
560	471	368
561	472	367
562	472	366
563	473	365
564	473	364
565	474	363
566	475	363
567	475	361
568	476	360
569	477	359
570	477	358
571	478	357
572	478	356
573	479	355
574	480	354
575	480	353
576	481	352
577	481	351
578	482	350
579	482	349
580	483	348
581	483	347
582	484	346
583	485	345
584	485	344
585	486	343
586	487	342
587	487	341
588	488	340
589	488	339
590	489	338
591	490	337
592	490	336
593	491	335
594	491	334
595	492	333
596	493	332
597	493	331
598	494	330
599	494	329
600	495	328
601	495	327
602	496	326
603	496	325
604	497	324
605	498	323
606	498	322
607	499	321
608	500	321
609	500	320
610	501	319
611	502	318
612	503	317
613	504	316
614	504	316
615	505	315
616	506	314
617	507	313
618	507	312
619	508	311
620	509	310
621	509	309
622	510	308
623	511	308
624	511	307
625	512	306
626	513	305
627	513	304
628	514	303
629	515	302
630	516	301
631	516	300
632	517	300
633	518	299
634	518	298
635	519	297
636	520	296
637	520	295
638	521	294
639	522	293
640	522	292
641	523	291
642	524	291
643	525	290
644	525	289
645	526	288
646	526	287
647	527	286
648	528	285
649	528	284
650	529	283
651	529	282
652	530	281
653	531	281
654	531	280
655	532	279
656	533	278
657	533	277
658	534	276
659	535	275
660	536	274
661	536	274
662	537	273
663	538	272
664	538	271
665	539	270
666	539	269
667	540	268
668	540	267
669	541	266
670	542	265
671	543	265
672	543	264
673	544	263
674	544	262
675	545	261
676	546	260
677	547	259
678	547	258
679	548	257
680	548	257
681	549	256
682	550	255
683	550	254
684	551	253
685	552	252
686	552	251
687	553	250
688	553	249
689	554	249
690	554	248
691	555	247
692	556	246
693	556	245
694	557	244
695	557	243
696	558	242
697	559	241
698	559	241
699	560	240
700	560	239
701	561	238
702	562	237
703	562	236
704	563	235
705	564	234
706	564	234
707	565	233
708	566	232
709	566	231
710	567	230
711	568	229
712	568	229
713	569	228
714	570	227
715	570	226
716	571	225
717	571	224
718	572	223
719	572	222
720	573	221
721	574	221
722	574	220
723	575	219
724	575	218
725	576	217
726	577	216
727	577	215
728	578	214
729	578	214
730	579	213
731	579	212
732	580	211
733	581	210
734	581	209
735	582	208
736	583	208
737	583	207
738	584	206
739	585	205
740	585	204
741	586	203
742	586	202
743	587	202
744	587	201
745	588	200
746	588	199
747	589	198
748	590	197
749	590	196
750	591	196
751	591	195
752	592	194
753	593	193
754	594	192
755	594	192
756	595	191
757	596	190
758	596	189
759	597	188
760	598	187
761	598	186
762	599	186
763	599	185
764	600	184
